x,y
0,11.191186424592159
1,11.292702789947052
2,12.138800620007299
3,8.69278109099196
4,11.384937158006963
5,8.997629985440769
6,10.73641240034575
7,10.76591448522288
8,11.152641756500058
9,10.088655006021048
10,10.445618804926841
11,8.873233722960272
12,9.664569914577473
13,9.622717856599564
14,9.615578066987618
15,11.192902295570159
16,8.052081586907153
17,10.878644629706953
18,7.325559459867622
19,9.599029764242644
20,9.723175194141882
21,8.527841747335037
22,9.685268339384065
23,7.530009848599762
24,9.247738653115446
25,9.600345341962724
26,9.6566069931487
27,8.515745666359418
28,8.561233143957208
29,7.017126484677537
30,8.57600144110576
31,7.2940606584656
32,8.615776269289825
33,7.060377663448456
34,5.502859907640412
35,8.277223031767944
36,7.03537787886774
37,5.901444280294618
38,7.225942050082963
39,7.086354493767236
40,6.286549903911344
41,6.3313471305891085
42,6.644463852335998
43,4.997061320728747
44,6.9886454035318835
45,6.927132990765678
46,5.659278921494333
47,7.295322192036264
48,3.9179985285942758
49,5.117527224891771
50,6.454685654094321
51,5.486260175464945
52,5.834589718362219
53,2.924615907082234
54,6.123426526036653
55,5.601303077477723
56,5.590280657634116
57,5.828698908743176
58,5.023616573109779
59,3.8122291943147832
60,2.569478705513713
61,3.928894421474954
62,5.506601714992909
63,3.6572182419108827
64,2.5727186445163315
65,3.642622954959408
66,3.257025644450182
67,1.9953286685413736
68,4.155952658829664
69,3.082017182346551
70,2.873394372128022
71,0.47371885214598053
72,2.0405793530680145
73,0.8346916723187028
74,2.6612433613621045
75,0.574791014118154
76,0.4833065854620142
77,1.506179130770319
78,1.461329847568333
79,2.5906379974523626
80,1.6211464155316513
81,1.8363610010295284
82,-0.29046590566121866
83,2.338594594601438
84,-1.0342278721155762
85,-0.5500924166765506
86,0.11783479810060093
87,-0.7268496834025842
88,0.7191890896714376
89,0.8083045134409208
90,0.89485788015864
91,-0.037309566729106625
92,0.025903566648903087
93,-0.13700654638863763
94,0.9488009949910577
95,1.4312620063544441
96,1.6278865343035673
97,0.046882607031246595
98,-0.5288541581293248
99,-0.4715010184262134
100,1.0438009907441206
101,-0.9166792716078
102,-0.32657453219986704
103,0.8975273512578013
104,-1.7003368303857553
105,1.5635480452817871
106,0.25628411543076934
107,-0.6874985080910921
108,-0.7356736014128047
109,-0.42155896097409856
110,-0.09370949004379561
111,0.24685810234711683
112,1.08040994508274
113,-0.7689712368792189
114,1.563628102006715
115,1.153816268947125
116,2.7576824794020807
117,-0.8103508128472772
118,0.5289939934341035
119,-0.8318709845608547
120,0.8518975543451102
121,-1.4812838027655952
122,-0.9981174260705892
123,-0.470400642797826
124,0.36264689270461337
125,1.9813992145457597
126,1.693932595091831
127,2.630609661389716
128,1.4076243399595296
129,1.1900677584862265
130,4.190877012429924
131,1.2083744045614229
132,-0.5912676557671874
133,3.52651439630519
134,2.333649075764749
135,0.6830504973978273
136,1.213881469096687
137,2.7348403228719875
138,3.925326485545255
139,3.2354371368979096
140,4.30603180056821
141,3.707291843698472
142,4.348922479836171
143,2.3722206099827545
144,3.2747158653903496
145,3.302272547684675
146,3.2883096552771045
147,5.031137837128078
148,3.7128254585795597
149,5.26098747745199
150,4.302626458484836
151,4.767102952420974
152,2.9950434867283975
153,4.182246827386548
154,5.62672055110698
155,2.5680643622542902
156,4.027246723098356
157,4.639110348785532
158,4.17486897717968
159,6.1203114198370985
160,4.776039107088806
161,5.144205893707499
162,4.909472841110187
163,7.195460458210555
164,4.80519889992335
165,5.724653146307333
166,5.922604527897132
167,7.26270925270152
168,7.250216179243658
169,8.174909555483891
170,6.075810404755335
171,7.496158758345435
172,8.235403883537794
173,5.378227089415487
174,6.962855684845802
175,8.008463466643391
176,8.026889924524397
177,9.463466399457847
178,8.325674296272794
179,6.88691003226575
180,8.047633070320014
181,9.71874427952586
182,8.747456749763701
183,7.90563439368718
184,8.611845445280379
185,8.135827850280739
186,7.743969339719921
187,9.97953743631454
188,9.031756259076001
189,10.007524461343804
190,10.066637171394174
191,9.786062957097602
192,7.936804908524708
193,10.210115245347819
194,10.276544867889905
195,10.25648107305242
196,9.589652230935254
197,9.832635300816273
198,9.992211652061101
199,10.018831740464389
200,9.231639516074656
201,7.994690907041058
202,8.649895889644398
203,7.682817304345647
204,8.192617094124005
205,9.394475223690696
206,10.70385471247641
207,8.592394945522877
208,11.11435848430559
209,10.024920018326505
210,9.486529162327505
211,9.334649170499217
212,9.633297649081006
213,11.007066479513389
214,9.423123606623871
215,9.961932171677153
216,10.19197958176024
217,9.253651442577096
218,9.807175503634905
219,8.952460550814573
220,10.729331990272186
221,10.351840007116275
222,8.990750690320173
223,8.389979257200551
224,9.419212864445756
225,11.914775666916594
226,11.882000063467427
227,8.16641327208913
228,10.734597955590706
229,9.01083734281583
230,10.892557359509889
231,8.078905600450891
232,7.6623884772170205
